skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
unused1696	2086																																																																																																																																																																																																																																																																																		0
unused1697	2087																																																																																																																																																																																																																																																																																		0
unused1698	2088																																																																																																																																																																																																																																																																																		0
unused1699	2089																																																																																																																																																																																																																																																																																		0
unused1700	2090																																																																																																																																																																																																																																																																																		0
unused1701	2091																																																																																																																																																																																																																																																																																		0
unused1702	2092																																																																																																																																																																																																																																																																																		0
unused1703	2093																																																																																																																																																																																																																																																																																		0
unused1704	2094																																																																																																																																																																																																																																																																																		0
unused1705	2095																																																																																																																																																																																																																																																																																		0
unused1706	2096																																																																																																																																																																																																																																																																																		0
unused1707	2097																																																																																																																																																																																																																																																																																		0
unused1708	2098																																																																																																																																																																																																																																																																																		0
unused1709	2099																																																																																																																																																																																																																																																																																		0
unused1710	2100																																																																																																																																																																																																																																																																																		0
unused1711	2101																																																																																																																																																																																																																																																																																		0
unused1712	2102																																																																																																																																																																																																																																																																																		0
unused1713	2103																																																																																																																																																																																																																																																																																		0
unused1714	2104																																																																																																																																																																																																																																																																																		0
unused1715	2105																																																																																																																																																																																																																																																																																		0
unused1716	2106																																																																																																																																																																																																																																																																																		0
unused1717	2107																																																																																																																																																																																																																																																																																		0
unused1718	2108																																																																																																																																																																																																																																																																																		0
unused1719	2109																																																																																																																																																																																																																																																																																		0
unused1720	2110																																																																																																																																																																																																																																																																																		0
unused1721	2111																																																																																																																																																																																																																																																																																		0
unused1722	2112																																																																																																																																																																																																																																																																																		0
unused1723	2113																																																																																																																																																																																																																																																																																		0
unused1724	2114																																																																																																																																																																																																																																																																																		0
unused1725	2115																																																																																																																																																																																																																																																																																		0
unused1726	2116																																																																																																																																																																																																																																																																																		0
unused1727	2117																																																																																																																																																																																																																																																																																		0
unused1728	2118																																																																																																																																																																																																																																																																																		0
unused1729	2119																																																																																																																																																																																																																																																																																		0
unused1730	2120																																																																																																																																																																																																																																																																																		0
unused1731	2121																																																																																																																																																																																																																																																																																		0
unused1732	2122																																																																																																																																																																																																																																																																																		0
unused1733	2123																																																																																																																																																																																																																																																																																		0
unused1734	2124																																																																																																																																																																																																																																																																																		0
unused1735	2125																																																																																																																																																																																																																																																																																		0
unused1736	2126																																																																																																																																																																																																																																																																																		0
unused1737	2127																																																																																																																																																																																																																																																																																		0
unused1738	2128																																																																																																																																																																																																																																																																																		0
unused1739	2129																																																																																																																																																																																																																																																																																		0
unused1740	2130																																																																																																																																																																																																																																																																																		0
unused1741	2131																																																																																																																																																																																																																																																																																		0
unused1742	2132																																																																																																																																																																																																																																																																																		0
unused1743	2133																																																																																																																																																																																																																																																																																		0
unused1744	2134																																																																																																																																																																																																																																																																																		0
unused1745	2135																																																																																																																																																																																																																																																																																		0
unused1746	2136																																																																																																																																																																																																																																																																																		0
unused1747	2137																																																																																																																																																																																																																																																																																		0
unused1748	2138																																																																																																																																																																																																																																																																																		0
unused1749	2139																																																																																																																																																																																																																																																																																		0
unused1750	2140																																																																																																																																																																																																																																																																																		0
unused1751	2141																																																																																																																																																																																																																																																																																		0
unused1752	2142																																																																																																																																																																																																																																																																																		0
unused1753	2143																																																																																																																																																																																																																																																																																		0
unused1754	2144																																																																																																																																																																																																																																																																																		0
unused1755	2145																																																																																																																																																																																																																																																																																		0
unused1756	2146																																																																																																																																																																																																																																																																																		0
unused1757	2147																																																																																																																																																																																																																																																																																		0
unused1758	2148																																																																																																																																																																																																																																																																																		0
unused1759	2149																																																																																																																																																																																																																																																																																		0
unused1760	2150																																																																																																																																																																																																																																																																																		0
unused1761	2151																																																																																																																																																																																																																																																																																		0
unused1762	2152																																																																																																																																																																																																																																																																																		0
unused1763	2153																																																																																																																																																																																																																																																																																		0
unused1764	2154																																																																																																																																																																																																																																																																																		0
unused1765	2155																																																																																																																																																																																																																																																																																		0
unused1766	2156																																																																																																																																																																																																																																																																																		0
unused1767	2157																																																																																																																																																																																																																																																																																		0
unused1768	2158																																																																																																																																																																																																																																																																																		0
unused1769	2159																																																																																																																																																																																																																																																																																		0
unused1770	2160																																																																																																																																																																																																																																																																																		0
unused1771	2161																																																																																																																																																																																																																																																																																		0
unused1772	2162																																																																																																																																																																																																																																																																																		0
unused1773	2163																																																																																																																																																																																																																																																																																		0
unused1774	2164																																																																																																																																																																																																																																																																																		0
unused1775	2165																																																																																																																																																																																																																																																																																		0
unused1776	2166																																																																																																																																																																																																																																																																																		0
unused1777	2167																																																																																																																																																																																																																																																																																		0
unused1778	2168																																																																																																																																																																																																																																																																																		0
unused1779	2169																																																																																																																																																																																																																																																																																		0
unused1780	2170																																																																																																																																																																																																																																																																																		0
unused1781	2171																																																																																																																																																																																																																																																																																		0
unused1782	2172																																																																																																																																																																																																																																																																																		0
unused1783	2173																																																																																																																																																																																																																																																																																		0
unused1784	2174																																																																																																																																																																																																																																																																																		0
unused1785	2175																																																																																																																																																																																																																																																																																		0
unused1786	2176																																																																																																																																																																																																																																																																																		0
unused1787	2177																																																																																																																																																																																																																																																																																		0
unused1788	2178																																																																																																																																																																																																																																																																																		0
unused1789	2179																																																																																																																																																																																																																																																																																		0
unused1790	2180																																																																																																																																																																																																																																																																																		0
unused1791	2181																																																																																																																																																																																																																																																																																		0
unused1792	2182																																																																																																																																																																																																																																																																																		0
unused1793	2183																																																																																																																																																																																																																																																																																		0
unused1794	2184																																																																																																																																																																																																																																																																																		0
unused1795	2185																																																																																																																																																																																																																																																																																		0
unused1796	2186																																																																																																																																																																																																																																																																																		0
unused1797	2187																																																																																																																																																																																																																																																																																		0
unused1798	2188																																																																																																																																																																																																																																																																																		0
unused1799	2189																																																																																																																																																																																																																																																																																		0
unused1800	2190																																																																																																																																																																																																																																																																																		0
unused1801	2191																																																																																																																																																																																																																																																																																		0
unused1802	2192																																																																																																																																																																																																																																																																																		0
unused1803	2193																																																																																																																																																																																																																																																																																		0
unused1804	2194																																																																																																																																																																																																																																																																																		0
unused1805	2195																																																																																																																																																																																																																																																																																		0
unused1806	2196																																																																																																																																																																																																																																																																																		0
unused1807	2197																																																																																																																																																																																																																																																																																		0
unused1808	2198																																																																																																																																																																																																																																																																																		0
unused1809	2199																																																																																																																																																																																																																																																																																		0
unused1810	2200																																																																																																																																																																																																																																																																																		0
unused1811	2201																																																																																																																																																																																																																																																																																		0
unused1812	2202																																																																																																																																																																																																																																																																																		0
unused1813	2203																																																																																																																																																																																																																																																																																		0
unused1814	2204																																																																																																																																																																																																																																																																																		0
unused1815	2205																																																																																																																																																																																																																																																																																		0
unused1816	2206																																																																																																																																																																																																																																																																																		0
unused1817	2207																																																																																																																																																																																																																																																																																		0
unused1818	2208																																																																																																																																																																																																																																																																																		0
unused1819	2209																																																																																																																																																																																																																																																																																		0
unused1820	2210																																																																																																																																																																																																																																																																																		0
unused1821	2211																																																																																																																																																																																																																																																																																		0
unused1822	2212																																																																																																																																																																																																																																																																																		0
unused1823	2213																																																																																																																																																																																																																																																																																		0
unused1824	2214																																																																																																																																																																																																																																																																																		0
unused1825	2215																																																																																																																																																																																																																																																																																		0
unused1826	2216																																																																																																																																																																																																																																																																																		0
unused1827	2217																																																																																																																																																																																																																																																																																		0
unused1828	2218																																																																																																																																																																																																																																																																																		0
unused1829	2219																																																																																																																																																																																																																																																																																		0
unused1830	2220																																																																																																																																																																																																																																																																																		0
unused1831	2221																																																																																																																																																																																																																																																																																		0
unused1832	2222																																																																																																																																																																																																																																																																																		0
unused1833	2223																																																																																																																																																																																																																																																																																		0
unused1834	2224																																																																																																																																																																																																																																																																																		0
unused1835	2225																																																																																																																																																																																																																																																																																		0
unused1836	2226																																																																																																																																																																																																																																																																																		0
unused1837	2227																																																																																																																																																																																																																																																																																		0
unused1838	2228																																																																																																																																																																																																																																																																																		0
unused1839	2229																																																																																																																																																																																																																																																																																		0
unused1840	2230																																																																																																																																																																																																																																																																																		0
unused1841	2231																																																																																																																																																																																																																																																																																		0
unused1842	2232																																																																																																																																																																																																																																																																																		0
unused1843	2233																																																																																																																																																																																																																																																																																		0
unused1844	2234																																																																																																																																																																																																																																																																																		0
unused1845	2235																																																																																																																																																																																																																																																																																		0
unused1846	2236																																																																																																																																																																																																																																																																																		0
unused1847	2237																																																																																																																																																																																																																																																																																		0
unused1848	2238																																																																																																																																																																																																																																																																																		0
unused1849	2239																																																																																																																																																																																																																																																																																		0
unused1850	2240																																																																																																																																																																																																																																																																																		0
