description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Stack of 84 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 54 gcr + 1 id scroll	1			0	18	70	84		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=54"																													isc																													0
Stack of 85 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 55 gcr + 1 id scroll	1			0	18	70	85		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=55"																													isc																													0
Stack of 86 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 56 gcr + 1 id scroll	1			0	18	70	86		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=56"																													isc																													0
Stack of 87 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 57 gcr + 1 id scroll	1			0	18	70	87		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=57"																													isc																													0
Stack of 88 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 58 gcr + 1 id scroll	1			0	18	70	88		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=58"																													isc																													0
Stack of 89 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 59 gcr + 1 id scroll	1			0	18	70	89		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=59"																													isc																													0
Stack of 90 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 60 gcr + 1 id scroll	1			0	18	70	90		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=60"																													isc																													0
Stack of 91 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 61 gcr + 1 id scroll	1			0	18	70	91		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=61"																													isc																													0
Stack of 92 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 62 gcr + 1 id scroll	1			0	18	70	92		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=62"																													isc																													0
Stack of 93 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 63 gcr + 1 id scroll	1			0	18	70	93		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=63"																													isc																													0
Stack of 94 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 64 gcr + 1 id scroll	1			0	18	70	94		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=64"																													isc																													0
Stack of 95 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 65 gcr + 1 id scroll	1			0	18	70	95		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=65"																													isc																													0
Stack of 96 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 66 gcr + 1 id scroll	1			0	18	70	96		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=66"																													isc																													0
Stack of 97 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 67 gcr + 1 id scroll	1			0	18	70	97		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=67"																													isc																													0
Stack of 98 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 68 gcr + 1 id scroll	1			0	18	70	98		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=68"																													isc																													0
Stack of 99 gcr + 1 id scroll -> Stack of 10 gfr + Stack of 69 gcr + 1 id scroll	1			0	18	70	99		2	zcr	isc						"zfr,qty=10"																													"zcr,qty=69"																													isc																													0
Stack of 30 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 0 gfr + 1 id scroll	1			0	18	70	30		2	zfr	isc						"zsr,qty=10"																																																										isc																													0
Stack of 31 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 1 gfr + 1 id scroll	1			0	18	70	31		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=1"																													isc																													0
Stack of 32 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 2 gfr + 1 id scroll	1			0	18	70	32		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=2"																													isc																													0
Stack of 33 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 3 gfr + 1 id scroll	1			0	18	70	33		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=3"																													isc																													0
Stack of 34 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 4 gfr + 1 id scroll	1			0	18	70	34		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=4"																													isc																													0
Stack of 35 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 5 gfr + 1 id scroll	1			0	18	70	35		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=5"																													isc																													0
Stack of 36 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 6 gfr + 1 id scroll	1			0	18	70	36		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=6"																													isc																													0
Stack of 37 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 7 gfr + 1 id scroll	1			0	18	70	37		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=7"																													isc																													0
Stack of 38 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 8 gfr + 1 id scroll	1			0	18	70	38		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=8"																													isc																													0
Stack of 39 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 9 gfr + 1 id scroll	1			0	18	70	39		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=9"																													isc																													0
Stack of 40 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 10 gfr + 1 id scroll	1			0	18	70	40		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=10"																													isc																													0
Stack of 41 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 11 gfr + 1 id scroll	1			0	18	70	41		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=11"																													isc																													0
Stack of 42 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 12 gfr + 1 id scroll	1			0	18	70	42		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=12"																													isc																													0
Stack of 43 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 13 gfr + 1 id scroll	1			0	18	70	43		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=13"																													isc																													0
Stack of 44 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 14 gfr + 1 id scroll	1			0	18	70	44		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=14"																													isc																													0
Stack of 45 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 15 gfr + 1 id scroll	1			0	18	70	45		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=15"																													isc																													0
Stack of 46 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 16 gfr + 1 id scroll	1			0	18	70	46		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=16"																													isc																													0
Stack of 47 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 17 gfr + 1 id scroll	1			0	18	70	47		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=17"																													isc																													0
Stack of 48 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 18 gfr + 1 id scroll	1			0	18	70	48		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=18"																													isc																													0
Stack of 49 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 19 gfr + 1 id scroll	1			0	18	70	49		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=19"																													isc																													0
Stack of 50 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 20 gfr + 1 id scroll	1			0	18	70	50		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=20"																													isc																													0
Stack of 51 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 21 gfr + 1 id scroll	1			0	18	70	51		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=21"																													isc																													0
Stack of 52 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 22 gfr + 1 id scroll	1			0	18	70	52		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=22"																													isc																													0
Stack of 53 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 23 gfr + 1 id scroll	1			0	18	70	53		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=23"																													isc																													0
Stack of 54 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 24 gfr + 1 id scroll	1			0	18	70	54		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=24"																													isc																													0
Stack of 55 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 25 gfr + 1 id scroll	1			0	18	70	55		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=25"																													isc																													0
Stack of 56 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 26 gfr + 1 id scroll	1			0	18	70	56		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=26"																													isc																													0
Stack of 57 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 27 gfr + 1 id scroll	1			0	18	70	57		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=27"																													isc																													0
Stack of 58 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 28 gfr + 1 id scroll	1			0	18	70	58		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=28"																													isc																													0
Stack of 59 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 29 gfr + 1 id scroll	1			0	18	70	59		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=29"																													isc																													0
Stack of 60 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 30 gfr + 1 id scroll	1			0	18	70	60		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=30"																													isc																													0
Stack of 61 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 31 gfr + 1 id scroll	1			0	18	70	61		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=31"																													isc																													0
Stack of 62 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 32 gfr + 1 id scroll	1			0	18	70	62		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=32"																													isc																													0
Stack of 63 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 33 gfr + 1 id scroll	1			0	18	70	63		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=33"																													isc																													0
Stack of 64 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 34 gfr + 1 id scroll	1			0	18	70	64		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=34"																													isc																													0
Stack of 65 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 35 gfr + 1 id scroll	1			0	18	70	65		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=35"																													isc																													0
Stack of 66 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 36 gfr + 1 id scroll	1			0	18	70	66		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=36"																													isc																													0
Stack of 67 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 37 gfr + 1 id scroll	1			0	18	70	67		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=37"																													isc																													0
Stack of 68 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 38 gfr + 1 id scroll	1			0	18	70	68		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=38"																													isc																													0
Stack of 69 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 39 gfr + 1 id scroll	1			0	18	70	69		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=39"																													isc																													0
Stack of 70 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 40 gfr + 1 id scroll	1			0	18	70	70		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=40"																													isc																													0
Stack of 71 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 41 gfr + 1 id scroll	1			0	18	70	71		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=41"																													isc																													0
Stack of 72 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 42 gfr + 1 id scroll	1			0	18	70	72		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=42"																													isc																													0
Stack of 73 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 43 gfr + 1 id scroll	1			0	18	70	73		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=43"																													isc																													0
Stack of 74 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 44 gfr + 1 id scroll	1			0	18	70	74		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=44"																													isc																													0
Stack of 75 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 45 gfr + 1 id scroll	1			0	18	70	75		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=45"																													isc																													0
Stack of 76 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 46 gfr + 1 id scroll	1			0	18	70	76		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=46"																													isc																													0
Stack of 77 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 47 gfr + 1 id scroll	1			0	18	70	77		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=47"																													isc																													0
Stack of 78 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 48 gfr + 1 id scroll	1			0	18	70	78		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=48"																													isc																													0
Stack of 79 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 49 gfr + 1 id scroll	1			0	18	70	79		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=49"																													isc																													0
Stack of 80 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 50 gfr + 1 id scroll	1			0	18	70	80		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=50"																													isc																													0
Stack of 81 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 51 gfr + 1 id scroll	1			0	18	70	81		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=51"																													isc																													0
Stack of 82 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 52 gfr + 1 id scroll	1			0	18	70	82		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=52"																													isc																													0
Stack of 83 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 53 gfr + 1 id scroll	1			0	18	70	83		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=53"																													isc																													0
Stack of 84 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 54 gfr + 1 id scroll	1			0	18	70	84		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=54"																													isc																													0
Stack of 85 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 55 gfr + 1 id scroll	1			0	18	70	85		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=55"																													isc																													0
Stack of 86 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 56 gfr + 1 id scroll	1			0	18	70	86		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=56"																													isc																													0
Stack of 87 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 57 gfr + 1 id scroll	1			0	18	70	87		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=57"																													isc																													0
Stack of 88 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 58 gfr + 1 id scroll	1			0	18	70	88		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=58"																													isc																													0
Stack of 89 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 59 gfr + 1 id scroll	1			0	18	70	89		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=59"																													isc																													0
Stack of 90 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 60 gfr + 1 id scroll	1			0	18	70	90		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=60"																													isc																													0
Stack of 91 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 61 gfr + 1 id scroll	1			0	18	70	91		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=61"																													isc																													0
Stack of 92 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 62 gfr + 1 id scroll	1			0	18	70	92		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=62"																													isc																													0
Stack of 93 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 63 gfr + 1 id scroll	1			0	18	70	93		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=63"																													isc																													0
Stack of 94 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 64 gfr + 1 id scroll	1			0	18	70	94		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=64"																													isc																													0
Stack of 95 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 65 gfr + 1 id scroll	1			0	18	70	95		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=65"																													isc																													0
Stack of 96 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 66 gfr + 1 id scroll	1			0	18	70	96		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=66"																													isc																													0
Stack of 97 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 67 gfr + 1 id scroll	1			0	18	70	97		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=67"																													isc																													0
Stack of 98 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 68 gfr + 1 id scroll	1			0	18	70	98		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=68"																													isc																													0
Stack of 99 gfr + 1 id scroll -> Stack of 10 gsr + Stack of 69 gfr + 1 id scroll	1			0	18	70	99		2	zfr	isc						"zsr,qty=10"																													"zfr,qty=69"																													isc																													0
Stack of 30 gsr + 1 id scroll -> Stack of 10 glr + Stack of 0 gsr + 1 id scroll	1			0	18	70	30		2	zsr	isc						"zlr,qty=10"																																																										isc																													0
Stack of 31 gsr + 1 id scroll -> Stack of 10 glr + Stack of 1 gsr + 1 id scroll	1			0	18	70	31		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=1"																													isc																													0
Stack of 32 gsr + 1 id scroll -> Stack of 10 glr + Stack of 2 gsr + 1 id scroll	1			0	18	70	32		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=2"																													isc																													0
Stack of 33 gsr + 1 id scroll -> Stack of 10 glr + Stack of 3 gsr + 1 id scroll	1			0	18	70	33		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=3"																													isc																													0
Stack of 34 gsr + 1 id scroll -> Stack of 10 glr + Stack of 4 gsr + 1 id scroll	1			0	18	70	34		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=4"																													isc																													0
Stack of 35 gsr + 1 id scroll -> Stack of 10 glr + Stack of 5 gsr + 1 id scroll	1			0	18	70	35		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=5"																													isc																													0
Stack of 36 gsr + 1 id scroll -> Stack of 10 glr + Stack of 6 gsr + 1 id scroll	1			0	18	70	36		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=6"																													isc																													0
Stack of 37 gsr + 1 id scroll -> Stack of 10 glr + Stack of 7 gsr + 1 id scroll	1			0	18	70	37		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=7"																													isc																													0
Stack of 38 gsr + 1 id scroll -> Stack of 10 glr + Stack of 8 gsr + 1 id scroll	1			0	18	70	38		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=8"																													isc																													0
Stack of 39 gsr + 1 id scroll -> Stack of 10 glr + Stack of 9 gsr + 1 id scroll	1			0	18	70	39		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=9"																													isc																													0
Stack of 40 gsr + 1 id scroll -> Stack of 10 glr + Stack of 10 gsr + 1 id scroll	1			0	18	70	40		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=10"																													isc																													0
Stack of 41 gsr + 1 id scroll -> Stack of 10 glr + Stack of 11 gsr + 1 id scroll	1			0	18	70	41		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=11"																													isc																													0
Stack of 42 gsr + 1 id scroll -> Stack of 10 glr + Stack of 12 gsr + 1 id scroll	1			0	18	70	42		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=12"																													isc																													0
Stack of 43 gsr + 1 id scroll -> Stack of 10 glr + Stack of 13 gsr + 1 id scroll	1			0	18	70	43		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=13"																													isc																													0
Stack of 44 gsr + 1 id scroll -> Stack of 10 glr + Stack of 14 gsr + 1 id scroll	1			0	18	70	44		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=14"																													isc																													0
Stack of 45 gsr + 1 id scroll -> Stack of 10 glr + Stack of 15 gsr + 1 id scroll	1			0	18	70	45		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=15"																													isc																													0
Stack of 46 gsr + 1 id scroll -> Stack of 10 glr + Stack of 16 gsr + 1 id scroll	1			0	18	70	46		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=16"																													isc																													0
Stack of 47 gsr + 1 id scroll -> Stack of 10 glr + Stack of 17 gsr + 1 id scroll	1			0	18	70	47		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=17"																													isc																													0
Stack of 48 gsr + 1 id scroll -> Stack of 10 glr + Stack of 18 gsr + 1 id scroll	1			0	18	70	48		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=18"																													isc																													0
Stack of 49 gsr + 1 id scroll -> Stack of 10 glr + Stack of 19 gsr + 1 id scroll	1			0	18	70	49		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=19"																													isc																													0
Stack of 50 gsr + 1 id scroll -> Stack of 10 glr + Stack of 20 gsr + 1 id scroll	1			0	18	70	50		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=20"																													isc																													0
Stack of 51 gsr + 1 id scroll -> Stack of 10 glr + Stack of 21 gsr + 1 id scroll	1			0	18	70	51		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=21"																													isc																													0
Stack of 52 gsr + 1 id scroll -> Stack of 10 glr + Stack of 22 gsr + 1 id scroll	1			0	18	70	52		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=22"																													isc																													0
Stack of 53 gsr + 1 id scroll -> Stack of 10 glr + Stack of 23 gsr + 1 id scroll	1			0	18	70	53		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=23"																													isc																													0
Stack of 54 gsr + 1 id scroll -> Stack of 10 glr + Stack of 24 gsr + 1 id scroll	1			0	18	70	54		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=24"																													isc																													0
Stack of 55 gsr + 1 id scroll -> Stack of 10 glr + Stack of 25 gsr + 1 id scroll	1			0	18	70	55		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=25"																													isc																													0
Stack of 56 gsr + 1 id scroll -> Stack of 10 glr + Stack of 26 gsr + 1 id scroll	1			0	18	70	56		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=26"																													isc																													0
Stack of 57 gsr + 1 id scroll -> Stack of 10 glr + Stack of 27 gsr + 1 id scroll	1			0	18	70	57		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=27"																													isc																													0
Stack of 58 gsr + 1 id scroll -> Stack of 10 glr + Stack of 28 gsr + 1 id scroll	1			0	18	70	58		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=28"																													isc																													0
Stack of 59 gsr + 1 id scroll -> Stack of 10 glr + Stack of 29 gsr + 1 id scroll	1			0	18	70	59		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=29"																													isc																													0
Stack of 60 gsr + 1 id scroll -> Stack of 10 glr + Stack of 30 gsr + 1 id scroll	1			0	18	70	60		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=30"																													isc																													0
Stack of 61 gsr + 1 id scroll -> Stack of 10 glr + Stack of 31 gsr + 1 id scroll	1			0	18	70	61		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=31"																													isc																													0
Stack of 62 gsr + 1 id scroll -> Stack of 10 glr + Stack of 32 gsr + 1 id scroll	1			0	18	70	62		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=32"																													isc																													0
Stack of 63 gsr + 1 id scroll -> Stack of 10 glr + Stack of 33 gsr + 1 id scroll	1			0	18	70	63		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=33"																													isc																													0
Stack of 64 gsr + 1 id scroll -> Stack of 10 glr + Stack of 34 gsr + 1 id scroll	1			0	18	70	64		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=34"																													isc																													0
Stack of 65 gsr + 1 id scroll -> Stack of 10 glr + Stack of 35 gsr + 1 id scroll	1			0	18	70	65		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=35"																													isc																													0
Stack of 66 gsr + 1 id scroll -> Stack of 10 glr + Stack of 36 gsr + 1 id scroll	1			0	18	70	66		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=36"																													isc																													0
Stack of 67 gsr + 1 id scroll -> Stack of 10 glr + Stack of 37 gsr + 1 id scroll	1			0	18	70	67		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=37"																													isc																													0
Stack of 68 gsr + 1 id scroll -> Stack of 10 glr + Stack of 38 gsr + 1 id scroll	1			0	18	70	68		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=38"																													isc																													0
Stack of 69 gsr + 1 id scroll -> Stack of 10 glr + Stack of 39 gsr + 1 id scroll	1			0	18	70	69		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=39"																													isc																													0
Stack of 70 gsr + 1 id scroll -> Stack of 10 glr + Stack of 40 gsr + 1 id scroll	1			0	18	70	70		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=40"																													isc																													0
Stack of 71 gsr + 1 id scroll -> Stack of 10 glr + Stack of 41 gsr + 1 id scroll	1			0	18	70	71		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=41"																													isc																													0
Stack of 72 gsr + 1 id scroll -> Stack of 10 glr + Stack of 42 gsr + 1 id scroll	1			0	18	70	72		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=42"																													isc																													0
Stack of 73 gsr + 1 id scroll -> Stack of 10 glr + Stack of 43 gsr + 1 id scroll	1			0	18	70	73		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=43"																													isc																													0
Stack of 74 gsr + 1 id scroll -> Stack of 10 glr + Stack of 44 gsr + 1 id scroll	1			0	18	70	74		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=44"																													isc																													0
Stack of 75 gsr + 1 id scroll -> Stack of 10 glr + Stack of 45 gsr + 1 id scroll	1			0	18	70	75		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=45"																													isc																													0
Stack of 76 gsr + 1 id scroll -> Stack of 10 glr + Stack of 46 gsr + 1 id scroll	1			0	18	70	76		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=46"																													isc																													0
Stack of 77 gsr + 1 id scroll -> Stack of 10 glr + Stack of 47 gsr + 1 id scroll	1			0	18	70	77		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=47"																													isc																													0
Stack of 78 gsr + 1 id scroll -> Stack of 10 glr + Stack of 48 gsr + 1 id scroll	1			0	18	70	78		2	zsr	isc						"zlr,qty=10"																													"zsr,qty=48"																													isc																													0
