index	code_name	code_normal	sets_normal	sets_exceptional	sets_elite	uniques_normal	uniques_exceptional	uniques_elite
1185	wraithflight					javelin/glaive	javelin/glaive	javelin/glaive
1186	bonehew					polearm/bardiche	polearm/bardiche	polearm/bardiche
1187	ondals_wisdom					staff/lazarus_spire	staff/lazarus_spire	staff/lazarus_spire
1188	the_reedeemer					scepter/scepter	scepter/scepter	scepter/scepter
1189	headhunters_glory					shield/wall_of_the_eyeless	shield/wall_of_the_eyeless	shield/wall_of_the_eyeless
1190	steelrend					glove/gaunlets_h	glove/gaunlets_h	glove/gaunlets_h
1191	rainbow_facet					gem/perfect_diamond	gem/perfect_diamond	gem/perfect_diamond
1192	hellfire_torch					torch/torch	torch/torch	torch/torch
1193	cold_rupture					charm/charm_large	charm/charm_large	charm/charm_large
1194	flame_rift					charm/charm_large	charm/charm_large	charm/charm_large
1195	crack_of_the_heavens					charm/charm_large	charm/charm_large	charm/charm_large
1196	rotting_fissure					charm/charm_large	charm/charm_large	charm/charm_large
1197	bone_break					charm/charm_large	charm/charm_large	charm/charm_large
1198	black_cleft					charm/charm_large	charm/charm_large	charm/charm_large
1199	black_cleft					charm/charm_large	charm/charm_large	charm/charm_large
1200	horadricmirror					..\reincarnated/misc/currency/horadric_mirror	..\reincarnated/misc/currency/horadric_mirror	..\reincarnated/misc/currency/horadric_mirror
1201	supercharm1					charm/charm_small	charm/charm_small	charm/charm_small
