description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
s02 -> r02	1				100	18	70	1		1	s02							r02																																																																																							0
r03 -> s03	1				100					1	r03							s03																																																																																							0
s03 -> r03	1				100	18	70	1		1	s03							r03																																																																																							0
r04 -> s04	1				100					1	r04							s04																																																																																							0
s04 -> r04	1				100	18	70	1		1	s04							r04																																																																																							0
r05 -> s05	1				100					1	r05							s05																																																																																							0
s05 -> r05	1				100	18	70	1		1	s05							r05																																																																																							0
r06 -> s06	1				100					1	r06							s06																																																																																							0
s06 -> r06	1				100	18	70	1		1	s06							r06																																																																																							0
r07 -> s07	1				100					1	r07							s07																																																																																							0
s07 -> r07	1				100	18	70	1		1	s07							r07																																																																																							0
r08 -> s08	1				100					1	r08							s08																																																																																							0
s08 -> r08	1				100	18	70	1		1	s08							r08																																																																																							0
r09 -> s09	1				100					1	r09							s09																																																																																							0
s09 -> r09	1				100	18	70	1		1	s09							r09																																																																																							0
r10 -> s10	1				100					1	r10							s10																																																																																							0
s10 -> r10	1				100	18	70	1		1	s10							r10																																																																																							0
r11 -> s11	1				100					1	r11							s11																																																																																							0
s11 -> r11	1				100	18	70	1		1	s11							r11																																																																																							0
r12 -> s12	1				100					1	r12							s12																																																																																							0
s12 -> r12	1				100	18	70	1		1	s12							r12																																																																																							0
r13 -> s13	1				100					1	r13							s13																																																																																							0
s13 -> r13	1				100	18	70	1		1	s13							r13																																																																																							0
r14 -> s14	1				100					1	r14							s14																																																																																							0
s14 -> r14	1				100	18	70	1		1	s14							r14																																																																																							0
r15 -> s15	1				100					1	r15							s15																																																																																							0
s15 -> r15	1				100	18	70	1		1	s15							r15																																																																																							0
r16 -> s16	1				100					1	r16							s16																																																																																							0
s16 -> r16	1				100	18	70	1		1	s16							r16																																																																																							0
r17 -> s17	1				100					1	r17							s17																																																																																							0
s17 -> r17	1				100	18	70	1		1	s17							r17																																																																																							0
r18 -> s18	1				100					1	r18							s18																																																																																							0
s18 -> r18	1				100	18	70	1		1	s18							r18																																																																																							0
r19 -> s19	1				100					1	r19							s19																																																																																							0
s19 -> r19	1				100	18	70	1		1	s19							r19																																																																																							0
r20 -> s20	1				100					1	r20							s20																																																																																							0
s20 -> r20	1				100	18	70	1		1	s20							r20																																																																																							0
r21 -> s21	1				100					1	r21							s21																																																																																							0
s21 -> r21	1				100	18	70	1		1	s21							r21																																																																																							0
r22 -> s22	1				100					1	r22							s22																																																																																							0
s22 -> r22	1				100	18	70	1		1	s22							r22																																																																																							0
r23 -> s23	1				100					1	r23							s23																																																																																							0
s23 -> r23	1				100	18	70	1		1	s23							r23																																																																																							0
r24 -> s24	1				100					1	r24							s24																																																																																							0
s24 -> r24	1				100	18	70	1		1	s24							r24																																																																																							0
r25 -> s25	1				100					1	r25							s25																																																																																							0
s25 -> r25	1				100	18	70	1		1	s25							r25																																																																																							0
r26 -> s26	1				100					1	r26							s26																																																																																							0
s26 -> r26	1				100	18	70	1		1	s26							r26																																																																																							0
r27 -> s27	1				100					1	r27							s27																																																																																							0
s27 -> r27	1				100	18	70	1		1	s27							r27																																																																																							0
r28 -> s28	1				100					1	r28							s28																																																																																							0
s28 -> r28	1				100	18	70	1		1	s28							r28																																																																																							0
r29 -> s29	1				100					1	r29							s29																																																																																							0
s29 -> r29	1				100	18	70	1		1	s29							r29																																																																																							0
r30 -> s30	1				100					1	r30							s30																																																																																							0
s30 -> r30	1				100	18	70	1		1	s30							r30																																																																																							0
r31 -> s31	1				100					1	r31							s31																																																																																							0
s31 -> r31	1				100	18	70	1		1	s31							r31																																																																																							0
r32 -> s32	1				100					1	r32							s32																																																																																							0
s32 -> r32	1				100	18	70	1		1	s32							r32																																																																																							0
r33 -> s33	1				100					1	r33							s33																																																																																							0
s33 -> r33	1				100	18	70	1		1	s33							r33																																																																																							0
Rune 2 -> Rune 1	1				100					2	r02	isc						r01																																																																																							0
Rune 3 -> Rune 2	1				100					2	r03	isc						r02																																																																																							0
Rune 4 -> Rune 3	1				100					2	r04	isc						r03																																																																																							0
Rune 5 -> Rune 4	1				100					2	r05	isc						r04																																																																																							0
Rune 6 -> Rune 5	1				100					2	r06	isc						r05																																																																																							0
Rune 7 -> Rune 6	1				100					2	r07	isc						r06																																																																																							0
Rune 8 -> Rune 7	1				100					2	r08	isc						r07																																																																																							0
Rune 9 -> Rune 8	1				100					2	r09	isc						r08																																																																																							0
Rune 10 -> Rune 9	1				100					2	r10	isc						r09																																																																																							0
Rune 11 -> Rune 10	1				100					2	r11	isc						r10																																																																																							0
Rune 12 -> Rune 11	1				100					2	r12	isc						r11																																																																																							0
Rune 13 -> Rune 12	1				100					2	r13	isc						r12																																																																																							0
Rune 14 -> Rune 13	1				100					2	r14	isc						r13																																																																																							0
Rune 15 -> Rune 14	1				100					2	r15	isc						r14																																																																																							0
Rune 16 -> Rune 15	1				100					2	r16	isc						r15																																																																																							0
Rune 17 -> Rune 16	1				100					2	r17	isc						r16																																																																																							0
Rune 18 -> Rune 17	1				100					2	r18	isc						r17																																																																																							0
Rune 19 -> Rune 18	1				100					2	r19	isc						r18																																																																																							0
Rune 20 -> Rune 19	1				100					2	r20	isc						r19																																																																																							0
Rune 21 -> Rune 20	1				100					2	r21	isc						r20																																																																																							0
Rune 22 -> Rune 21	1				100					2	r22	isc						r21																																																																																							0
Rune 23 -> Rune 22	1				100					2	r23	isc						r22																																																																																							0
Rune 24 -> Rune 23	1				100					2	r24	isc						r23																																																																																							0
Rune 25 -> Rune 24	1				100					2	r25	isc						r24																																																																																							0
Rune 26 -> Rune 25	1				100					2	r26	isc						r25																																																																																							0
Rune 27 -> Rune 26	1				100					2	r27	isc						r26																																																																																							0
Rune 28 -> Rune 27	1				100					2	r28	isc						r27																																																																																							0
Rune 29 -> Rune 28	1				100					2	r29	isc						r28																																																																																							0
Rune 30 -> Rune 29	1				100					2	r30	isc						r29																																																																																							0
Rune 31 -> Rune 30	1				100					2	r31	isc						r30																																																																																							0
Rune 32 -> Rune 31	1				100					2	r32	isc						r31																																																																																							0
Rune 33 -> Rune 32	1				100					2	r33	isc						r32																																																																																							0
pk1 -> sk1	1				100					1	pk1							sk1																																																																																							0
sk1 -> pk1	1				100	18	70	1		1	sk1							pk1																																																																																							0
pk2 -> sk2	1				100					1	pk2							sk2																																																																																							0
sk2 -> pk2	1				100	18	70	1		1	sk2							pk2																																																																																							0
pk3 -> sk3	1				100					1	pk3							sk3																																																																																							0
sk3 -> pk3	1				100	18	70	1		1	sk3							pk3																																																																																							0
Magic Orb + Item -> Reroll Magic Item	1				100					2	"weap,mag"	or1						"usetype,mag"			100																																																																																				0
Magic Orb + Item -> Reroll Magic Item	1				100					2	"armo,mag"	or1						"usetype,mag"			100																																																																																				0
Magic Orb + Item -> Reroll Magic Item	1				100					2	"amul,mag"	or1						"usetype,mag"			100																																																																																				0
Magic Orb + Item -> Reroll Magic Item	1				100					2	"ring,mag"	or1						"usetype,mag"			100																																																																																				0
Magic Orb + Item -> Reroll Magic Item	1				100					2	"misl,mag"	or1						"usetype,mag"			100																																																																																				0
Magic Orb + Item -> Reroll Magic Item	1				100					2	"char,mag"	or1						"usetype,mag"			100																																																																																				0
Rare Orb + Item -> Reroll Rare Item	1				100					2	"weap,rar"	or2						"usetype,rar"			100																																																																																				0
Rare Orb + Item -> Reroll Rare Item	1				100					2	"armo,rar"	or2						"usetype,rar"			100																																																																																				0
Rare Orb + Item -> Reroll Rare Item	1				100					2	"amul,rar"	or2						"usetype,rar"			100																																																																																				0
Rare Orb + Item -> Reroll Rare Item	1				100					2	"ring,rar"	or2						"usetype,rar"			100																																																																																				0
Rare Orb + Item -> Reroll Rare Item	1				100					2	"misl,rar"	or2						"usetype,rar"			100																																																																																				0
START CORRUPTING	0																																																																																																								0
Weapon	1				100	18	366	0		2	weap	or3						useitem			100	corruptnum			1	1000	crafting-potential			-50	-50																or3																																																										0
Armor	1				100	18	366	0		2	armo	or3						useitem			100	corruptnum			1	1000	crafting-potential			-50	-50																or3																																																										0
Missiles	1				100	18	366	0		2	misl	or3						useitem			100	corruptnum			1	1000	crafting-potential			-50	-50																or3																																																										0
Amulet	1				100	18	366	0		2	amul	or3						useitem			100	corruptnum			1	1000	crafting-potential			-50	-50																or3																																																										0
Ring	1				100	18	366	0		2	ring	or3						useitem			100	corruptnum			1	1000	crafting-potential			-50	-50																or3																																																										0
CORRUPT - DESTROY NO SOCKET	0																																																																																																								0
Weapon	1				100	16	366	250		2	weap,nos	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Armor	1				100	16	366	250		2	armo,nos	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Missiles	1				100	16	366	250		2	misl,nos	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Amulet	1				100	16	366	250		2	amul,nos	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Ring	1				100	16	366	250		2	ring,nos	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
CORRUPT - SOCKETING IF NO SOCKET	0																																																																																																								0
WEAPONS	0																																																																																																								0
weapon -> + 1 sockets  (6%)	1				100	16	366	310		2	weap,nos	or3						useitem			100	corrupt			1	1	sock			1	1	corruptnum			1001	1001																																																																					0
weapon -> + 2 sockets  (5.5%)	1				100	16	366	365		2	weap,nos	or3						useitem			100	corrupt			1	1	sock			2	2	corruptnum			1001	1001																																																																					0
weapon -> + 3 sockets  (4.5%)	1				100	16	366	410		2	weap,nos	or3						useitem			100	corrupt			1	1	sock			3	3	corruptnum			1001	1001																																																																					0
weapon -> + 4 sockets  (4%)	1				100	16	366	450		2	weap,nos	or3						useitem			100	corrupt			1	1	sock			1	1	corruptnum			1001	1001																																																																					0
weapon -> + 5 sockets  (3%)	1				100	16	366	480		2	weap,nos	or3						useitem			100	corrupt			1	1	sock			2	2	corruptnum			1001	1001																																																																					0
weapon -> + 6 sockets  (2%)	1				100	16	366	500		2	weap,nos	or3						useitem			100	corrupt			1	1	sock			3	3	corruptnum			1001	1001																																																																					0
BELT	0																																																																																																								0
armour -> + 1 sockets  (15%)	1				100	16	366	400		2	belt,nos	or3						useitem			100	corrupt			1	1	sock			1	1	corruptnum			1001	1001																																																																					0
armour -> + 2 sockets  (10%)	1				100	16	366	500		2	belt,nos	or3						useitem			100	corrupt			1	1	sock			2	2	corruptnum			1001	1001																																																																					0
CHEST, HELM, BOOTS, GLOVES & SHIELD	0																																																																																																								0
armour -> + 1 sockets  (18%)	1				100	16	366	430		2	armo,nos	or3						useitem			100	corrupt			1	1	sock			1	1	corruptnum			1001	1001																																																																					0
armour -> + 2 sockets  (5%)	1				100	16	366	480		2	armo,nos	or3						useitem			100	corrupt			1	1	sock			2	2	corruptnum			1001	1001																																																																					0
armour -> + 3 sockets  (2%)	1				100	16	366	500		2	armo,nos	or3						useitem			100	corrupt			1	1	sock			3	3	corruptnum			1001	1001																																																																					0
RING	0																																																																																																								0
ring -> + 1 sockets  (25%)	1				100	16	366	500		2	ring,nos	or3						useitem			100	corrupt			1	1	sock			1	1	corruptnum			1001	1001																																																																					0
AMULET	0																																																																																																								0
amulet -> + 1 sockets  (25%)	1				100	16	366	500		2	amul,nos	or3						useitem			100	corrupt			1	1	sock			1	1	corruptnum			1001	1001																																																																					0
QUIVERS	0																																																																																																								0
quiver -> + 1 sockets  (18%)	1				100	16	366	430		2	misl,nos	or3						useitem			100	corrupt			1	1	sock			1	1	corruptnum			1001	1001																																																																					0
quiver -> + 2 sockets  (5%)	1				100	16	366	480		2	misl,nos	or3						useitem			100	corrupt			1	1	sock			2	2	corruptnum			1001	1001																																																																					0
quiver -> + 3 sockets  (2%)	1				100	16	366	500		2	misl,nos	or3						useitem			100	corrupt			1	1	sock			3	3	corruptnum			1001	1001																																																																					0
CORRUPT - DESTROY SOCKETED	0																																																																																																								0
Weapon	1				100	16	366	500		2	weap,sock	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Armor	1				100	16	366	500		2	armo,sock	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Missiles	1				100	16	366	500		2	misl,sock	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Amulet	1				100	16	366	500		2	amul,sock	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
Ring	1				100	16	366	500		2	ring,sock	or3						usetype,rar			100	corruptnum			1001	1001	corrupt			1	1																																																																										0
CORRUPT - ADD BONUS	0																																																																																																								0
WEAPONS	0																																																																																																								0
Tier 1	0																																																																																																								0
Weapon 1 	1				100	16	366	525		2	weap	or3						useitem			100	corrupt	100		2	2	corruptnum	100		1001	1001	dmg%	100		40	80																																																																					0
item -> added mod 2	1				100	16	366	550		2	weap	or3						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	250																																																																					0
item -> added mod 3	1				100	16	366	575		2	weap	or3						useitem			100	corrupt	100		4	4	corruptnum	100		1001	1001	heal-hit	100		3	6																																																																					0
item -> added mod 4	1				100	16	366	600		2	weap	or3						useitem			100	corrupt	100		5	5	corruptnum	100		1001	1001	att-demon	100		200	200	dmg-demon	100		100	150																																																																0
item -> added mod 5	1				100	16	366	625		2	weap	or3						useitem			100	corrupt	100		6	6	corruptnum	100		1001	1001	ease	100		-25	-50																																																																					0
item -> added mod 6	1				100	16	366	650		2	weap	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 1	1				100	16	366	675		2	weap	or3						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		3	5																																																																					0
item -> added mod 2	1				100	16	366	700		2	weap	or3						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		3	5																																																																					0
item -> added mod 3	1				100	16	366	725		2	weap	or3						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		10	10																																																																					0
item -> added mod 4	1				100	16	366	750		2	weap	or3						useitem			100	corrupt	100		77	77	corruptnum	100		1001	1001	att-undead	100		200	200	dmg-undead	100		100	150																																																																0
Tier 2	0																																																																																																								0
item -> added mod 5	1				100	16	366	765		2	weap	or3						useitem			100	corrupt	100		12	12	corruptnum	100		1001	1001	pierce-fire	100		5	10																																																																					0
item -> added mod 6	1				100	16	366	780		2	weap	or3						useitem			100	corrupt	100		13	13	corruptnum	100		1001	1001	pierce-ltng	100		5	10																																																																					0
item -> added mod 1	1				100	16	366	795		2	weap	or3						useitem			100	corrupt	100		14	14	corruptnum	100		1001	1001	pierce-cold	100		5	10																																																																					0
item -> added mod 2	1				100	16	366	810		2	weap	or3						useitem			100	corrupt	100		15	15	corruptnum	100		1001	1001	pierce-pois	100		5	10																																																																					0
item -> added mod 3	1				100	16	366	825		2	weap	or3						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		20	20																																																																					0
item -> added mod 4	1				100	16	366	840		2	weap	or3						useitem			100	corrupt	100		17	17	corruptnum	100		1001	1001	lifesteal	100		5	5	dmg%	100		40	60																																																																0
item -> added mod 5	1				100	16	366	855		2	weap	or3						useitem			100	corrupt	100		18	18	corruptnum	100		1001	1001	att	100		200	300																																																																					0
item -> added mod 6	1				100	16	366	870		2	weap	or3						useitem			100	corrupt	100		19	19	corruptnum	100		1001	1001	deadly	100		20	30																																																																					0
item -> added mod 1	1				100	16	366	885		2	weap	or3						useitem			100	corrupt	100		20	20	corruptnum	100		1001	1001	swing1	100		30	40																																																																					0
item -> added mod 2	1				100	16	366	900		2	weap	or3						useitem			100	corrupt	100		21	21	corruptnum	100		1001	1001	crush	100		20	30																																																																					0
Tier 3	0																																																																																																								0
item -> added mod 3	1				100	16	366	910		2	weap	or3						useitem			100	corrupt	100		22	22	corruptnum	100		1001	1001	swing1	100		20	20	dmg%	100		80	120																																																																0
item -> added mod 4	1				100	16	366	920		2	weap	or3						useitem			100	corrupt	100		23	23	corruptnum	100		1001	1001	swing1	100		30	30	crush	100		20	30																																																																0
item -> added mod 5	1				100	16	366	930		2	weap	or3						useitem			100	corrupt	100		24	24	corruptnum	100		1001	1001	ignore-ac	100		1	1	dmg%	100		60	80																																																																0
item -> added mod 6	1				100	16	366	940		2	weap	or3						useitem			100	corrupt	100		25	25	corruptnum	100		1001	1001	deadly	100		25	25	dmg%	100		50	70																																																																0
item -> added mod 1	1				100	16	366	950		2	weap	or3						useitem			100	corrupt	100		26	26	corruptnum	100		1001	1001	att	100		250	250	dmg%	100		80	120																																																																0
item -> added mod 2	1				100	16	366	960		2	weap	or3						useitem			100	corrupt	100		27	27	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1				100	16	366	970		2	weap	or3						useitem			100	corrupt	100		28	28	corruptnum	100		1001	1001	extra-fire	100		5	5	cast2	100		10	10																																																																0
item -> added mod 4	1				100	16	366	980		2	weap	or3						useitem			100	corrupt	100		29	29	corruptnum	100		1001	1001	extra-cold	100		5	5	cast2	100		10	10																																																																0
item -> added mod 5	1				100	16	366	990		2	weap	or3						useitem			100	corrupt	100		30	30	corruptnum	100		1001	1001	extra-ltng	100		5	5	cast2	100		10	10																																																																0
item -> added mod 6	1				100	16	366	1000		2	weap	or3						useitem			100	corrupt	100		31	31	corruptnum	100		1001	1001	extra-pois	100		5	5	cast2	100		10	10																																																																0
CHEST --------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	530		2	tors	or3						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1				100	16	366	560		2	tors	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 3	1				100	16	366	590		2	tors	or3						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		20	30																																																																					0
item -> added mod 4	1				100	16	366	620		2	tors	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		30	35																																																																					0
item -> added mod 5	1				100	16	366	650		2	tors	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		30	35																																																																					0
item -> added mod 6	1				100	16	366	680		2	tors	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		30	35																																																																					0
item -> added mod 7	1				100	16	366	710		2	tors	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		30	35																																																																					0
item -> added mod 8	1				100	16	366	740		2	tors	or3						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	760		2	tors	or3						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1				100	16	366	780		2	tors	or3						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
item -> added mod 3	1				100	16	366	800		2	tors	or3						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 4	1				100	16	366	820		2	tors	or3						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		20	20																																																																					0
item -> added mod 5	1				100	16	366	840		2	tors	or3						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1				100	16	366	860		2	tors	or3						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1				100	16	366	880		2	tors	or3						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1				100	16	366	900		2	tors	or3						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	912		2	tors	or3						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	20																																																																					0
item -> added mod 2	1				100	16	366	925		2	tors	or3						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1				100	16	366	937		2	tors	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		15	20																																																																					0
item -> added mod 4	1				100	16	366	950		2	tors	or3						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		6	6																																																																					0
item -> added mod 5	1				100	16	366	962		2	tors	or3						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	15																																																																0
item -> added mod 6	1				100	16	366	975		2	tors	or3						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	15																																																																0
item -> added mod 7	1				100	16	366	987		2	tors	or3						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	15																																																																0
item -> added mod 8	1				100	16	366	1000		2	tors	or3						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	15																																																																0
HELMS --------------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	530		2	helm	or3						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1				100	16	366	560		2	helm	or3						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		10	20																																																																					0
item -> added mod 3	1				100	16	366	590		2	helm	or3						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		20	30																																																																					0
item -> added mod 4	1				100	16	366	620		2	helm	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		30	35																																																																					0
item -> added mod 5	1				100	16	366	650		2	helm	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		30	35																																																																					0
item -> added mod 6	1				100	16	366	680		2	helm	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		30	35																																																																					0
item -> added mod 7	1				100	16	366	710		2	helm	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		30	35																																																																					0
item -> added mod 8	1				100	16	366	740		2	helm	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	760		2	helm	or3						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 2	1				100	16	366	780		2	helm	or3						useitem			100	corrupt	100		57	57	corruptnum	100		1001	1001	lifesteal	100		3	5																																																																					0
item -> added mod 3	1				100	16	366	800		2	helm	or3						useitem			100	corrupt	100		58	58	corruptnum	100		1001	1001	manasteal	100		3	5																																																																					0
item -> added mod 4	1				100	16	366	820		2	helm	or3						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 5	1				100	16	366	840		2	helm	or3						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1				100	16	366	860		2	helm	or3						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		3	4																																																																					0
item -> added mod 7	1				100	16	366	880		2	helm	or3						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		3	4																																																																					0
item -> added mod 8	1				100	16	366	900		2	helm	or3						useitem			100	corrupt	100		59	59	corruptnum	100		1001	1001	att	100		150	250	light	100		2	4																																																																0
Tier 3	0																																																																																																								0
item -> added mod 1	1				100	16	366	912		2	helm	or3						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 2	1				100	16	366	925		2	helm	or3						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1				100	16	366	937		2	helm	or3						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		15	20																																																																					0
item -> added mod 4	1				100	16	366	950		2	helm	or3						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		4	6																																																																					0
item -> added mod 5	1				100	16	366	962		2	helm	or3						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	15																																																																0
item -> added mod 6	1				100	16	366	975		2	helm	or3						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	15																																																																0
item -> added mod 7	1				100	16	366	987		2	helm	or3						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	15																																																																0
item -> added mod 8	1				100	16	366	1000		2	helm	or3						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	15																																																																0
BOOTS -----------------------------	0																																																																																																								0
Tier 1	0																																																																																																								0
item -> added mod 1	1				100	16	366	295		2	boot	or3						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1				100	16	366	340		2	boot	or3						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		10	25																																																																					0
item -> added mod 3	1				100	16	366	385		2	boot	or3						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		50	100																																																																					0
item -> added mod 4	1				100	16	366	430		2	boot	or3						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		15	20																																																																					0
item -> added mod 5	1				100	16	366	475		2	boot	or3						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		15	20																																																																					0
item -> added mod 6	1				100	16	366	520		2	boot	or3						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		15	20																																																																					0
item -> added mod 7	1				100	16	366	565		2	boot	or3						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		15	20																																																																					0
item -> added mod 8	1				100	16	366	610		2	boot	or3						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		10	15																																																																					0
Tier 2	0																																																																																																								0
item -> added mod 1	1				100	16	366	640		2	boot	or3						useitem			100	corrupt	100		64	64	corruptnum	100		1001	1001	block2			10	10																																																																					0
